id_cliente;id_estandar;nombre_cliente;debe;haber;deudor;acreedor;activo;pasivo;perdida;ganancia;;
21041003;2.01.99.00;DEVOLUCIÓN A CLIENTES;78081159;80110571;0;2029412;0;2029412;0;0;0;-2029412
21041005;2.01.99.00;GARANTÍAS EXTENDIDAS POR PAGAR;736115119;792125569;0;56010450;0;56010450;0;0;0;-56010450
21041006;2.01.99.00;FNZ;1830596943;1830902296;0;305353;0;305353;0;0;0;-305353
21041007;2.01.99.00;GIFT CARD AMSA;4956515;6676512;0;1719997;0;1719997;0;0;0;-1719997
21051101;2.01.40.00;CTA CTE MONETARIA POR PAGAR AMIQQ;1,42366E+11;1,36888E+11;5477566926;0;5477566926;0;0;0;0;5477566926
21051102;2.01.40.00;CTA CTE MONETARIA POR PAGAR FMSA;50394221;25004103;25390118;0;25390118;0;0;0;0;25390118
21051103;2.01.40.00;CTA CTE MONETARIA POR PAGAR AM-PERU;89101503;89101503;0;0;0;0;0;0;0;0
21051104;2.01.40.00;CTA CTE MONETARIA POR PAGAR ACADEMIA;17114618;17114618;0;0;0;0;0;0;0;0
21051105;2.01.40.00;CTA CTE MONETARIA POR PAGAR OTEC;60064;60064;0;0;0;0;0;0;0;0
21051106;2.01.40.00;CTA CTE MONETARIA POR PAGAR GMT;70700926;1335309;69365617;0;69365617;0;0;0;0;69365617
21051107;2.01.40.00;CTA CTE MONETARIA POR PAGAR REAL AUDIO;128136;128136;0;0;0;0;0;0;0;0
21052101;2.01.40.00;CTA CTE NO MONETARIA POR PAGAR AMIQQ;17585287335;32731107659;0;15145820324;0;15145820324;0;0;0;-13988313139
21052102;2.01.40.00;CTA CTE NO MONETARIA POR PAGAR FMSA;19738716;2058750305;0;2039011589;0;2039011589;0;0;0;-2039011589
21052106;2.01.40.00;CTA CTE NO MONETARIA POR PAGAR GMT;210101483;318098856;0;107997373;0;107997373;0;0;0;-107997373
21052108;2.01.40.00;CTA CTE NO MONETARIA POR PAGAR AM-COLOMBIA;1533867;9131338;0;7597471;0;7597471;0;0;0;-7597471
